id,job_title,role_category,experience_level,must_have_weighted,good_to_have_weighted,nice_to_have_weighted,core_concepts_weighted
11,Spring Boot Developer,Backend,Mid-level / 2-5 years,Java:10|Spring Boot:9|REST APIs:8|SQL:7|Git:6|Maven:5|Hibernate:5|OOP:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
12,Spring Boot Developer,Backend,Senior / 5+ years,Java:10|Spring Boot:9|REST APIs:8|SQL:7|Git:6|Maven:5|Hibernate:5|OOP:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
13,Node.js Developer,Backend,Fresher / 0-2 years,JavaScript:10|Node.js:9|Express.js:8|REST APIs:7|Git:6|SQL:5|JSON:5|NPM:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
14,Node.js Developer,Backend,Mid-level / 2-5 years,JavaScript:10|Node.js:9|Express.js:8|REST APIs:7|Git:6|SQL:5|JSON:5|NPM:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
15,Node.js Developer,Backend,Senior / 5+ years,JavaScript:10|Node.js:9|Express.js:8|REST APIs:7|Git:6|SQL:5|JSON:5|NPM:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
16,Go Developer,Backend,Fresher / 0-2 years,Go:10|REST APIs:9|Git:8|Concurrency:7|SQL:6|Linux:5|JSON:5|Microservices:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
17,Go Developer,Backend,Mid-level / 2-5 years,Go:10|REST APIs:9|Git:8|Concurrency:7|SQL:6|Linux:5|JSON:5|Microservices:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
18,Go Developer,Backend,Senior / 5+ years,Go:10|REST APIs:9|Git:8|Concurrency:7|SQL:6|Linux:5|JSON:5|Microservices:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
19,PHP Laravel Developer,Backend,Fresher / 0-2 years,PHP:10|Laravel:9|MySQL:8|Git:7|REST APIs:6|HTML:5|CSS:5|MVC:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
20,PHP Laravel Developer,Backend,Mid-level / 2-5 years,PHP:10|Laravel:9|MySQL:8|Git:7|REST APIs:6|HTML:5|CSS:5|MVC:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
21,PHP Laravel Developer,Backend,Senior / 5+ years,PHP:10|Laravel:9|MySQL:8|Git:7|REST APIs:6|HTML:5|CSS:5|MVC:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
22,Ruby on Rails Developer,Backend,Fresher / 0-2 years,Ruby:10|Rails:9|Git:8|REST APIs:7|PostgreSQL:6|MVC:5|HTML:5|CSS:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
23,Ruby on Rails Developer,Backend,Mid-level / 2-5 years,Ruby:10|Rails:9|Git:8|REST APIs:7|PostgreSQL:6|MVC:5|HTML:5|CSS:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
24,Ruby on Rails Developer,Backend,Senior / 5+ years,Ruby:10|Rails:9|Git:8|REST APIs:7|PostgreSQL:6|MVC:5|HTML:5|CSS:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
25,Rust Developer,Backend,Fresher / 0-2 years,Rust:10|Memory Management:9|Git:8|REST APIs:7|Linux:6|Concurrency:5|Cargo:5|Systems Programming:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
26,Rust Developer,Backend,Mid-level / 2-5 years,Rust:10|Memory Management:9|Git:8|REST APIs:7|Linux:6|Concurrency:5|Cargo:5|Systems Programming:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
27,Rust Developer,Backend,Senior / 5+ years,Rust:10|Memory Management:9|Git:8|REST APIs:7|Linux:6|Concurrency:5|Cargo:5|Systems Programming:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
28,React Developer,Frontend,Fresher / 0-2 years,JavaScript:10|React:9|HTML:8|CSS:7|Git:6|REST APIs:5|JSX:5|Responsive Design:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
29,React Developer,Frontend,Mid-level / 2-5 years,JavaScript:10|React:9|HTML:8|CSS:7|Git:6|REST APIs:5|JSX:5|Responsive Design:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
30,React Developer,Frontend,Senior / 5+ years,JavaScript:10|React:9|HTML:8|CSS:7|Git:6|REST APIs:5|JSX:5|Responsive Design:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
31,Vue Developer,Frontend,Fresher / 0-2 years,JavaScript:10|Vue.js:9|HTML:8|CSS:7|Git:6|REST APIs:5|Vue CLI:5|Responsive Design:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
32,Vue Developer,Frontend,Mid-level / 2-5 years,JavaScript:10|Vue.js:9|HTML:8|CSS:7|Git:6|REST APIs:5|Vue CLI:5|Responsive Design:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
33,Vue Developer,Frontend,Senior / 5+ years,JavaScript:10|Vue.js:9|HTML:8|CSS:7|Git:6|REST APIs:5|Vue CLI:5|Responsive Design:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
34,Angular Developer,Frontend,Fresher / 0-2 years,TypeScript:10|Angular:9|HTML:8|CSS:7|Git:6|REST APIs:5|RxJS:5|Responsive Design:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
35,Angular Developer,Frontend,Mid-level / 2-5 years,TypeScript:10|Angular:9|HTML:8|CSS:7|Git:6|REST APIs:5|RxJS:5|Responsive Design:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
36,Angular Developer,Frontend,Senior / 5+ years,TypeScript:10|Angular:9|HTML:8|CSS:7|Git:6|REST APIs:5|RxJS:5|Responsive Design:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
37,Next.js Developer,Frontend,Fresher / 0-2 years,JavaScript:10|Next.js:9|React:8|HTML:7|CSS:6|Git:5|REST APIs:5|SSR:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
38,Next.js Developer,Frontend,Mid-level / 2-5 years,JavaScript:10|Next.js:9|React:8|HTML:7|CSS:6|Git:5|REST APIs:5|SSR:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
39,Next.js Developer,Frontend,Senior / 5+ years,JavaScript:10|Next.js:9|React:8|HTML:7|CSS:6|Git:5|REST APIs:5|SSR:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
40,UI UX Developer,Frontend,Fresher / 0-2 years,HTML:10|CSS:9|JavaScript:8|Responsive Design:7|Figma:6|UI Components:5|Git:5|Accessibility:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
41,UI UX Developer,Frontend,Mid-level / 2-5 years,HTML:10|CSS:9|JavaScript:8|Responsive Design:7|Figma:6|UI Components:5|Git:5|Accessibility:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
42,UI UX Developer,Frontend,Senior / 5+ years,HTML:10|CSS:9|JavaScript:8|Responsive Design:7|Figma:6|UI Components:5|Git:5|Accessibility:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
43,MERN Stack Developer,Full Stack,Fresher / 0-2 years,JavaScript:10|MongoDB:9|Express.js:8|React:7|Node.js:6|Git:5|REST APIs:5|HTML:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
44,MERN Stack Developer,Full Stack,Mid-level / 2-5 years,JavaScript:10|MongoDB:9|Express.js:8|React:7|Node.js:6|Git:5|REST APIs:5|HTML:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
45,MERN Stack Developer,Full Stack,Senior / 5+ years,JavaScript:10|MongoDB:9|Express.js:8|React:7|Node.js:6|Git:5|REST APIs:5|HTML:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
46,Django React Full Stack Developer,Full Stack,Fresher / 0-2 years,Python:10|Django:9|React:8|SQL:7|Git:6|REST APIs:5|HTML:5|CSS:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
47,Django React Full Stack Developer,Full Stack,Mid-level / 2-5 years,Python:10|Django:9|React:8|SQL:7|Git:6|REST APIs:5|HTML:5|CSS:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
48,Django React Full Stack Developer,Full Stack,Senior / 5+ years,Python:10|Django:9|React:8|SQL:7|Git:6|REST APIs:5|HTML:5|CSS:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
49,TypeScript Developer,Full Stack,Fresher / 0-2 years,TypeScript:10|JavaScript:9|Node.js:8|React:7|REST APIs:6|Git:5|HTML:5|CSS:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
50,TypeScript Developer,Full Stack,Mid-level / 2-5 years,TypeScript:10|JavaScript:9|Node.js:8|React:7|REST APIs:6|Git:5|HTML:5|CSS:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
51,TypeScript Developer,Full Stack,Senior / 5+ years,TypeScript:10|JavaScript:9|Node.js:8|React:7|REST APIs:6|Git:5|HTML:5|CSS:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
52,Machine Learning Engineer,AI/ML,Fresher / 0-2 years,Python:10|Pandas:9|NumPy:8|Scikit-learn:7|Machine Learning:6|Data Cleaning:5|Statistics:5|Jupyter:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
53,Machine Learning Engineer,AI/ML,Mid-level / 2-5 years,Python:10|Pandas:9|NumPy:8|Scikit-learn:7|Machine Learning:6|Data Cleaning:5|Statistics:5|Jupyter:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
54,Machine Learning Engineer,AI/ML,Senior / 5+ years,Python:10|Pandas:9|NumPy:8|Scikit-learn:7|Machine Learning:6|Data Cleaning:5|Statistics:5|Jupyter:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
55,Data Scientist,AI/ML,Fresher / 0-2 years,Python:10|Pandas:9|NumPy:8|Machine Learning:7|Statistics:6|Data Visualization:5|SQL:5|Jupyter:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
56,Data Scientist,AI/ML,Mid-level / 2-5 years,Python:10|Pandas:9|NumPy:8|Machine Learning:7|Statistics:6|Data Visualization:5|SQL:5|Jupyter:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
57,Data Scientist,AI/ML,Senior / 5+ years,Python:10|Pandas:9|NumPy:8|Machine Learning:7|Statistics:6|Data Visualization:5|SQL:5|Jupyter:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
58,AI Engineer GenAI,AI/ML,Fresher / 0-2 years,Python:10|PyTorch:9|Transformers:8|Prompt Engineering:7|APIs:6|Git:5|NLP:5|Vector Databases:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
59,AI Engineer GenAI,AI/ML,Mid-level / 2-5 years,Python:10|PyTorch:9|Transformers:8|Prompt Engineering:7|APIs:6|Git:5|NLP:5|Vector Databases:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
60,AI Engineer GenAI,AI/ML,Senior / 5+ years,Python:10|PyTorch:9|Transformers:8|Prompt Engineering:7|APIs:6|Git:5|NLP:5|Vector Databases:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
